"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6, C7","7","0.1µ","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","D1","1","LED_TX_Bleu","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"3","D2","1","LED_RX_Rouge","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"4","D3","1","D_Schottky","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"5","J1, J2","2","~","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"6","J3","1","LED_R","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"7","J4","1","SW_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"8","J5","1","Sensor_car_in","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"9","J6","1","Sensor_gate_open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"10","J7","1","LED_V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"11","J8","1","SW_Close","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"12","J9","1","Sensor_car_out","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"13","J10","1","Sensor_gate_close","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"14","J11, J12","2","Conn_01x19_Pin","Connector_PinHeader_2.54mm:PinHeader_1x19_P2.54mm_Vertical",""
"15","K1, K2","2","FINDER-30.22","Relay_THT:Relay_DPDT_Finder_30.22",""
"16","P1","1","USB_C_Plug_USB2.0","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",""
"17","Q1, Q2","2","NPN","Package_TO_SOT_SMD:SOT-23",""
"18","R1, R2, R9, R10, R16, R21","6","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"19","R3, R4, R11, R12, R13, R15, R17","7","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"20","R5, R6","2","150","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"21","R7, R8","2","330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"22","R14, R20","2","300","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"23","R18, R19","2","470","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"24","SW1, SW2","2","SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3",""
"25","U1","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"26","U2","1","FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm",""
"27","U3","1","ULN2003","Package_SO:SO-16_3.9x9.9mm_P1.27mm",""
"28","U4","1","ESP32-WROOM-E","Espressif:ESP32-WROOM-32E",""
